Number,Name,Type,Height(m),Weight(lbs),BMI,Image Link
1,Bulbasaur,"['Grass', 'Poison']",0.7,15.2,6.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/bulbasaur.png
2,Ivysaur,"['Grass', 'Poison']",1,28.7,13,https://img.pokemondb.net/sprites/scarlet-violet/icon/ivysaur.png
3,Venusaur,"['Grass', 'Poison']",2,220.5,100,https://img.pokemondb.net/sprites/scarlet-violet/icon/venusaur.png
4,Charmander,['Fire'],0.6,18.7,8.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmander.png
5,Charmeleon,['Fire'],1.1,41.9,19,https://img.pokemondb.net/sprites/scarlet-violet/icon/charmeleon.png
6,Charizard,"['Fire', 'Flying']",1.7,199.5,90.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/charizard.png
7,Squirtle,['Water'],0.5,19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/squirtle.png
8,Wartortle,['Water'],1,49.6,22.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/wartortle.png
9,Blastoise,['Water'],1.6,188.5,85.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/blastoise.png
10,Caterpie,['Bug'],0.3,6.4,2.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/caterpie.png
11,Metapod,['Bug'],0.7,21.8,9.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/metapod.png
12,Butterfree,"['Bug', 'Flying']",1.1,70.5,32,https://img.pokemondb.net/sprites/scarlet-violet/icon/butterfree.png
13,Weedle,"['Bug', 'Poison']",0.3,7.1,3.2,https://img.pokemondb.net/sprites/scarlet-violet/icon/weedle.png
14,Kakuna,"['Bug', 'Poison']",0.6,22,10,https://img.pokemondb.net/sprites/scarlet-violet/icon/kakuna.png
15,Beedrill,"['Bug', 'Poison']",1,65,29.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/beedrill.png
16,Pidgey,"['Normal', 'Flying']",0.3,4,1.8,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgey.png
17,Pidgeotto,"['Normal', 'Flying']",1.1,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeotto.png
18,Pidgeot,"['Normal', 'Flying']",1.5,87.1,39.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/pidgeot.png
19,Rattata,['Normal'],0.3,7.7,3.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/rattata.png
20,Raticate,['Normal'],0.7,40.8,18.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/raticate.png
21,Spearow,"['Normal', 'Flying']",0.3,4.4,2,https://img.pokemondb.net/sprites/scarlet-violet/icon/spearow.png
22,Fearow,"['Normal', 'Flying']",1.2,83.8,38,https://img.pokemondb.net/sprites/scarlet-violet/icon/fearow.png
23,Ekans,['Poison'],2,15.2,6.9,https://img.pokemondb.net/sprites/scarlet-violet/icon/ekans.png
24,Arbok,['Poison'],3.5,143.3,65,https://img.pokemondb.net/sprites/scarlet-violet/icon/arbok.png
25,Pikachu,['Electric'],0.4,13.2,6,https://img.pokemondb.net/sprites/scarlet-violet/icon/pikachu.png
26,Raichu,['Electric'],0.8,66.1,30,https://img.pokemondb.net/sprites/scarlet-violet/icon/raichu.png
27,Sandshrew,['Ground'],0.6,26.5,12,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandshrew.png
28,Sandslash,['Ground'],1,65,29.5,https://img.pokemondb.net/sprites/scarlet-violet/icon/sandslash.png
29,Nidoran,['Poison'],0.4,15.4,7,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-f.png
30,Nidorina,['Poison'],0.8,44.1,20,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidorina.png
31,Nidoqueen,"['Poison', 'Ground']",1.3,132.3,60,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoqueen.png
32,Nidoran,['Poison'],19.8,9,https://img.pokemondb.net/sprites/scarlet-violet/icon/nidoran-m.png,
