ID,Trainer,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,Total,Highest level,Team used?,Mega?,D/Gmax?,Legends?,Held items,Notes
1,Aaron,75,75,77,77,78,79,461,79,BDSP second rematch,No,No,No,6,"Fully EV- and IV-trained, with competitive-level movesets"
2,Acerola,66,66,66,66,66,,330,66,USUM Elite Four rematch,No,No,No,1,
3,Adaman,75,50,50,,,,175,50,"Path of Tenacity, fifth clear",No,No,No,0,
4,Agatha,66,66,65,68,70,,335,70,FRLG League rematch,No,No,No,1,
5,Akari/Rei,61,62,62,63,63,,311,63,Training Grounds post-request 98,No,No,No,0,
6,Alder,75,75,75,75,75,77,452,77,BW Pokemon League rematch,No,No,No,0,
7,Alex,28,28,65,,,,121,65,HGSS Route 13,No,No,No,0,"The ""king"" of Route 13, uses a Lv. 65 Magikarp"
8,Aliana,46,48,,,,,94,48,Lysandre Labs,No,No,No,0,
9,Allister,72,72,73,73,74,,364,74,Champion Cup post-GST,No,Yes,No,0,
10,Amarys,83,83,84,84,84,85,503,85,League Club,No,No,No,6,"Tied for strongest E4 member, with realistic doubles team"
11,Anabel,61,61,61,61,61,,305,61,Looker Bureau,No,No,No,0,
12,Archer,54,54,54,54,,,216,54,LGPE third battle,No,No,No,0,Archer without a Houndoom just feels wrong
13,Archie,64,64,64,64,66,,322,66,Rainbow Rocket,No,No,Yes,0,
14,Ardos,43,44,44,44,43,43,261,44,Citadark Isle,No,No,No,0,Has 3 Shadow Pokemon
15,Arezu,73,47,47,,,,167,73,"Path of Tenacity, fifth clear",No,No,No,0,
16,Ariana,52,53,54,,,,159,54,FRLG Rocket Warehouse,No,No,No,0,Her Pokemon apparently lost 20 levels each between FRLG and HGSS
17,Aristo,65,65,65,65,65,,325,65,Mt. Lanakila route boss,No,No,No,5,Uses dual screens and four auto-weather Pokemon
18,Arven,82,82,82,82,82,83,493,83,League Club,No,No,No,0,"Equal to E4, lowest-leveled of the Area Zero companions (though with better teambuilding than Penny)"
19,Atticus,65,65,65,65,66,66,392,66,Team Star rematch,No,No,No,0,
20,Avery,68,68,68,69,70,,343,70,Battle Court post-GST,No,Yes,No,0,
21,AZ,60,60,60,,,,180,60,"Lumiose City, credits",No,No,No,0,
